scientific_name,common_name,class_name,order_name,family_name,genus_name,species_name,assessment_year,species_recovery_score_best,species_recovery_category,conservation_legacy_category,conservation_dependence_category,conservation_gain_category,recovery_potential_category,url
Troides helena,Common Birdwing,INSECTA,LEPIDOPTERA,PAPILIONIDAE,Troides,helena,2021,50%,Largely Depleted,Low,Low,Indeterminate,Medium,https://www.iucnredlist.org/species/91188632/118127416
Tympanuchus cupido,Greater Prairie-chicken,AVES,GALLIFORMES,PHASIANIDAE,Tympanuchus,cupido,2021,50%,Largely Depleted,Medium,Low,Zero,Low,https://www.iucnredlist.org/species/22679514/177901079
Vicugna vicugna,Vicuna,MAMMALIA,ARTIODACTYLA,CAMELIDAE,Vicugna,vicugna,2021,67%,Moderately Depleted,High,Medium,Medium,Medium,https://www.iucnredlist.org/species/22956/145360542
Sciurus meridionalis,Calabrian Black Squirrel,MAMMALIA,RODENTIA,SCIURIDAE,Sciurus,meridionalis,2024,52%,Moderately Depleted,Zero,Zero,Zero,Medium,https://www.iucnredlist.org/species/221730662/221730818
Socotra pseudocardisoma,Socotra Karst Crab,MALACOSTRACA,DECAPODA,POTAMIDAE,Socotra,pseudocardisoma,2024,25%,Largely Depleted,Zero,Low,Zero,Medium,https://www.iucnredlist.org/species/134433/258464616
Solenodon paradoxus,Hispaniolan Solenodon,MAMMALIA,EULIPOTYPHLA,SOLENODONTIDAE,Solenodon,paradoxus,2023,67%,Moderately Depleted,Medium,Medium,Zero,Zero,https://www.iucnredlist.org/species/20321/22327218
Cavia intermedia,Santa Catarina's Guinea Pig,MAMMALIA,RODENTIA,CAVIIDAE,Cavia,intermedia,2024,33%,Indeterminate,Zero,Zero,Indeterminate,Indeterminate,https://www.iucnredlist.org/species/136520/22189125
Ctenella chagius,Chagos Brain Coral,ANTHOZOA,SCLERACTINIA,EUPHYLLIIDAE,Ctenella,chagius,2024,15%,Critically Depleted,Zero,Zero,Zero,Medium,https://www.iucnredlist.org/species/133701/129471211
Dimorphandra wilsonii,Faveiro de Wilson,MAGNOLIOPSIDA,FABALES,FABACEAE,Dimorphandra,wilsonii,2022,18%,Critically Depleted,Low,Low,Zero,Medium,https://www.iucnredlist.org/species/61926/202311139
Gymnogyps californianus,California Condor,AVES,CATHARTIFORMES,CATHARTIDAE,Gymnogyps,californianus,2023,20%,Critically Depleted,High,Zero,Low,Medium,https://www.iucnredlist.org/species/22697636/181151405
Ondatra zibethicus,Common Muskrat,MAMMALIA,RODENTIA,CRICETIDAE,Ondatra,zibethicus,2024,67%,Moderately Depleted,Medium,Zero,Zero,Medium,https://www.iucnredlist.org/species/15324/22344525
Limulus polyphemus,American Horseshoe Crab,MEROSTOMATA,XIPHOSURA,LIMULIDAE,Limulus,polyphemus,2022,69%,Moderately Depleted,Medium,Medium,Medium,Zero,https://www.iucnredlist.org/species/11987/80159830
Oryx dammah,Scimitar-horned Oryx,MAMMALIA,ARTIODACTYLA,BOVIDAE,Oryx,dammah,2024,4%,Critically Depleted,High,,High,,https://www.iucnredlist.org/species/15568/197393805
Pelecanus crispus,Dalmatian Pelican,AVES,PELECANIFORMES,PELECANIDAE,Pelecanus,crispus,2023,56%,Moderately Depleted,Medium,Medium,Zero,Medium,https://www.iucnredlist.org/species/22697599/122838534
Prionace glauca,Blue Shark,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Prionace,glauca,2024,43%,Largely Depleted,Low,Medium,Zero,Medium,https://www.iucnredlist.org/species/39381/2915850
Saiga tatarica,Saiga,MAMMALIA,ARTIODACTYLA,BOVIDAE,Saiga,tatarica,2024,48%,Largely Depleted,High,High,Medium,Indeterminate,https://www.iucnredlist.org/species/19832/233712210
Spheniscus demersus,African Penguin,AVES,SPHENISCIFORMES,SPHENISCIDAE,Spheniscus,demersus,2021,33%,Largely Depleted,High,Zero,Zero,Medium,https://www.iucnredlist.org/species/22697810/256021744
